transaction_id,customer_id,timestamp,amount,category,payment_method,device_type,country,merchant_id,is_fraudulent,fraud_type
TXN_20240107_00000000,CUST_00378,2024-01-07 19:07:00,1496.02,Electronics,Credit Card,Tablet,CA,MERCH_095,False,
TXN_20240106_00000001,CUST_00259,2024-01-06 19:05:00,11.2,Food & Beverage,Google Pay,Desktop,DE,MERCH_072,False,
TXN_20240103_00000002,CUST_00389,2024-01-03 02:45:00,47.99,Food & Beverage,Debit Card,Tablet,US,MERCH_055,False,
TXN_20240104_00000003,CUST_00048,2024-01-04 15:17:00,187.94,Home & Garden,Apple Pay,Desktop,UK,MERCH_046,False,
TXN_20240104_00000004,CUST_00064,2024-01-04 16:38:00,81.68,Books,Apple Pay,Desktop,IN,MERCH_071,False,
TXN_20240104_00000005,CUST_00339,2024-01-04 03:53:00,177.43,Health & Beauty,Debit Card,Mobile,US,MERCH_011,False,
TXN_20240103_00000006,CUST_00084,2024-01-03 11:55:00,196.26,Clothing,PayPal,Mobile,AU,MERCH_027,False,
TXN_20240103_00000007,CUST_00084,2024-01-03 20:44:00,308.47,Clothing,Apple Pay,Mobile,DE,MERCH_035,False,
TXN_20240107_00000008,CUST_00118,2024-01-07 19:44:00,415.5,Sports,Credit Card,Mobile,US,MERCH_052,False,
TXN_20240103_00000009,CUST_00109,2024-01-03 20:04:00,549.18,Sports,Cryptocurrency,Mobile,AU,MERCH_051,False,
TXN_20240107_00000010,CUST_00276,2024-01-07 20:29:00,226.61,Home & Garden,PayPal,Tablet,IN,MERCH_075,False,
TXN_20240105_00000011,CUST_00261,2024-01-05 13:57:00,75.59,Food & Beverage,Apple Pay,Desktop,CA,MERCH_097,False,
TXN_20240101_00000012,CUST_00306,2024-01-01 12:55:00,84.89,Clothing,Credit Card,Mobile,JP,MERCH_049,False,
TXN_20240107_00000013,CUST_00349,2024-01-07 08:29:00,97.25,Books,Cryptocurrency,Desktop,US,MERCH_088,False,
TXN_20240106_00000014,CUST_00223,2024-01-06 17:48:00,78.02,Books,Debit Card,Mobile,FR,MERCH_001,False,
TXN_20240103_00000015,CUST_00431,2024-01-03 19:32:00,415.99,Home & Garden,Cryptocurrency,Tablet,FR,MERCH_078,False,
TXN_20240103_00000016,CUST_00471,2024-01-03 02:09:00,231.13,Health & Beauty,Credit Card,Tablet,IN,MERCH_042,False,
TXN_20240106_00000017,CUST_00123,2024-01-06 05:01:00,465.26,Clothing,Credit Card,Desktop,FR,MERCH_073,False,
TXN_20240101_00000018,CUST_00393,2024-01-01 20:05:00,328.25,Toys,Debit Card,Desktop,IN,MERCH_085,False,
TXN_20240106_00000019,CUST_00494,2024-01-06 01:35:00,226.74,Home & Garden,Debit Card,Tablet,JP,MERCH_097,False,
TXN_20240103_00000020,CUST_00225,2024-01-03 03:45:00,42.9,Books,Google Pay,Mobile,AU,MERCH_016,False,
TXN_20240103_00000021,CUST_00302,2024-01-03 15:14:00,175.66,Clothing,Debit Card,Desktop,DE,MERCH_010,False,
TXN_20240107_00000022,CUST_00143,2024-01-07 17:03:00,552.01,Sports,Cryptocurrency,Mobile,AU,MERCH_028,True,high_amount
TXN_20240106_00000023,CUST_00098,2024-01-06 18:08:00,104.77,Toys,Credit Card,Desktop,JP,MERCH_085,False,
TXN_20240105_00000024,CUST_00345,2024-01-05 14:22:00,85.16,Food & Beverage,Cryptocurrency,Tablet,US,MERCH_013,False,
TXN_20240101_00000025,CUST_00098,2024-01-01 15:25:00,242.17,Health & Beauty,Google Pay,Mobile,DE,MERCH_018,False,
TXN_20240105_00000026,CUST_00227,2024-01-05 12:11:00,48.95,Books,Google Pay,Desktop,UK,MERCH_007,False,
TXN_20240107_00000027,CUST_00086,2024-01-07 22:34:00,1939.54,Electronics,Apple Pay,Mobile,DE,MERCH_062,False,
TXN_20240103_00000028,CUST_00200,2024-01-03 06:55:00,180.98,Food & Beverage,PayPal,Mobile,US,MERCH_037,False,
TXN_20240105_00000029,CUST_00297,2024-01-05 12:44:00,70.37,Toys,Cryptocurrency,Tablet,US,MERCH_008,False,
TXN_20240104_00000030,CUST_00081,2024-01-04 08:03:00,1189.15,Electronics,Credit Card,Tablet,IN,MERCH_011,False,
TXN_20240102_00000031,CUST_00483,2024-01-02 23:04:00,340.85,Clothing,Google Pay,Desktop,UK,MERCH_075,False,
TXN_20240107_00000032,CUST_00162,2024-01-07 08:02:00,215.42,Clothing,PayPal,Desktop,IN,MERCH_086,False,
TXN_20240104_00000033,CUST_00235,2024-01-04 08:15:00,42.6,Books,PayPal,Desktop,FR,MERCH_002,False,
TXN_20240105_00000034,CUST_00068,2024-01-05 21:39:00,45.9,Clothing,PayPal,Desktop,FR,MERCH_032,False,
TXN_20240104_00000035,CUST_00314,2024-01-04 22:18:00,361.78,Home & Garden,Cryptocurrency,Tablet,FR,MERCH_002,False,
TXN_20240106_00000036,CUST_00456,2024-01-06 21:19:00,470.08,Clothing,Credit Card,Tablet,UK,MERCH_071,False,
TXN_20240102_00000037,CUST_00352,2024-01-02 15:17:00,62.46,Books,Cryptocurrency,Mobile,DE,MERCH_065,False,
TXN_20240106_00000038,CUST_00023,2024-01-06 05:16:00,229.98,Electronics,Credit Card,Mobile,FR,MERCH_099,False,
TXN_20240102_00000039,CUST_00288,2024-01-02 09:40:00,20.35,Books,Credit Card,Desktop,JP,MERCH_010,False,
TXN_20240102_00000040,CUST_00221,2024-01-02 14:34:00,1677.46,Electronics,Debit Card,,CA,MERCH_040,False,
TXN_20240104_00000041,CUST_00342,2024-01-04 21:57:00,1802.9,Electronics,Credit Card,Mobile,DE,MERCH_100,False,
TXN_20240106_00000042,CUST_00443,2024-01-06 23:56:00,194.9,Food & Beverage,Debit Card,Desktop,DE,MERCH_053,False,
TXN_20240101_00000043,CUST_00137,2024-01-01 06:11:00,236.89,Health & Beauty,Debit Card,Tablet,DE,MERCH_014,False,
TXN_20240105_00000044,CUST_00180,2024-01-05 01:55:00,1724.26,Electronics,PayPal,Desktop,BR,MERCH_029,False,
TXN_20240101_00000045,CUST_00496,2024-01-01 06:42:00,248.1,Sports,PayPal,Mobile,UK,MERCH_083,False,
TXN_20240106_00000046,CUST_00092,2024-01-06 10:25:00,282.38,Health & Beauty,Google Pay,Mobile,FR,MERCH_005,False,
TXN_20240102_00000047,CUST_00311,2024-01-02 03:38:00,72.41,Food & Beverage,Google Pay,Desktop,JP,MERCH_050,False,
TXN_20240107_00000048,CUST_00474,2024-01-07 03:12:00,9.22,Books,Google Pay,Tablet,IN,MERCH_093,False,
TXN_20240103_00000049,CUST_00320,2024-01-03 02:23:00,18.64,Food & Beverage,PayPal,Tablet,AU,MERCH_016,False,
TXN_20240104_00000050,CUST_00284,2024-01-04 04:32:00,68.35,Books,Debit Card,Desktop,FR,MERCH_054,False,
TXN_20240105_00000051,CUST_00427,2024-01-05 01:43:00,500.1,Home & Garden,Credit Card,Mobile,IN,MERCH_037,False,
TXN_20240103_00000052,CUST_00262,2024-01-03 05:27:00,144.85,Health & Beauty,Apple Pay,Tablet,DE,MERCH_022,False,
TXN_20240108_00000053,CUST_00048,2024-01-08 00:05:00,53.97,Books,Debit Card,Tablet,AU,MERCH_040,False,
TXN_20240103_00000054,CUST_00454,2024-01-03 09:51:00,966.88,Sports,Cryptocurrency,Tablet,BR,MERCH_025,True,high_amount
TXN_20240105_00000055,CUST_00458,2024-01-05 02:31:00,52.58,Food & Beverage,Credit Card,Mobile,US,MERCH_029,False,
TXN_20240102_00000056,CUST_00234,2024-01-02 21:51:00,29.59,Toys,Debit Card,Mobile,UK,MERCH_086,False,
TXN_20240106_00000057,CUST_00418,2024-01-06 15:35:00,285.51,Health & Beauty,Cryptocurrency,Tablet,MX,MERCH_055,False,
TXN_20240106_00000058,CUST_00385,2024-01-06 20:28:00,600.05,Home & Garden,Debit Card,Tablet,FR,MERCH_036,False,
TXN_20240106_00000059,CUST_00121,2024-01-06 13:31:00,175.64,Sports,PayPal,Mobile,FR,MERCH_041,False,
TXN_20240106_00000060,CUST_00362,2024-01-06 18:05:00,137.65,Home & Garden,Debit Card,Desktop,CA,MERCH_054,False,
TXN_20240105_00000061,CUST_00200,2024-01-05 08:21:00,172.15,Toys,Google Pay,Tablet,JP,MERCH_003,False,
TXN_20240107_00000062,CUST_00437,2024-01-07 03:24:00,12.3,Toys,Apple Pay,Tablet,JP,MERCH_096,False,
TXN_20240106_00000063,CUST_00015,2024-01-06 19:51:00,300.61,Sports,Apple Pay,Mobile,BR,MERCH_086,False,
TXN_20240105_00000064,CUST_00274,2024-01-05 07:46:00,675.59,Home & Garden,Credit Card,Mobile,MX,MERCH_076,False,
TXN_20240107_00000065,CUST_00094,2024-01-07 00:42:00,213.7,Electronics,Credit Card,Mobile,BR,MERCH_049,False,
TXN_20240104_00000066,CUST_00143,2024-01-04 11:13:00,137.47,Toys,Apple Pay,Mobile,JP,MERCH_011,False,
TXN_20240106_00000067,CUST_00400,2024-01-06 00:01:00,1999.82,Electronics,Cryptocurrency,Desktop,UK,MERCH_097,False,
TXN_20240101_00000068,CUST_00065,2024-01-01 07:15:00,505.95,Sports,Apple Pay,Tablet,DE,MERCH_015,False,
TXN_20240107_00000069,CUST_00311,2024-01-07 00:13:00,282.79,Toys,Google Pay,Tablet,CA,MERCH_092,False,
TXN_20240102_00000070,CUST_00476,2024-01-02 05:49:00,772.48,Home & Garden,PayPal,Tablet,US,MERCH_087,False,
TXN_20240105_00000071,CUST_00053,2024-01-05 00:25:00,59.46,Sports,Cryptocurrency,Mobile,DE,MERCH_088,False,
TXN_20240107_00000072,CUST_00178,2024-01-07 09:51:00,400.15,Clothing,Google Pay,Mobile,US,MERCH_085,False,
TXN_20240104_00000073,CUST_00055,2024-01-04 22:04:00,13.67,Health & Beauty,Apple Pay,Mobile,BR,MERCH_082,False,
TXN_20240105_00000074,CUST_00316,2024-01-05 21:45:00,359.68,Home & Garden,Google Pay,Mobile,FR,MERCH_060,False,
TXN_20240105_00000075,CUST_00143,2024-01-05 15:52:00,35.62,Books,Apple Pay,Desktop,UK,MERCH_097,False,
TXN_20240105_00000076,CUST_00094,2024-01-05 22:36:00,70.6,Food & Beverage,Apple Pay,Desktop,AU,MERCH_046,False,
