transaction_id,timestamp,transaction_amount,transaction_hour,day_of_week,merchant_category,card_present,international,distance_from_home,prev_transaction_count,avg_transaction_amount,is_fraud
TXN_00000000,2023-01-01 00:00:00,36.628811456166645,10,2,gas,0,0,7.645960330255588,16,21.598959043431154,0
TXN_00000001,2023-01-01 00:05:00,29.594161909772957,10,4,gas,1,0,0.20021024343159635,17,14.053167158169641,0
TXN_00000002,2023-01-01 00:10:00,17.409737953429463,15,4,retail,0,0,4.557390093135246,16,87.45207142048787,0
TXN_00000003,2023-01-01 00:15:00,16.553891126239154,11,2,online,1,0,9.30579285625792,21,97.21275115069739,0
TXN_00000004,2023-01-01 00:20:00,185.89388887952688,15,4,retail,1,0,3.042963483144019,24,19.457340015027082,0
TXN_00000005,2023-01-01 00:25:00,5.2982353784747716,12,4,gas,1,0,7.308726751950899,28,220.35883840307804,0
TXN_00000006,2023-01-01 00:30:00,11.317735152422088,6,3,grocery,1,0,8.354996959031784,23,209.75062295053436,0
TXN_00000007,2023-01-01 00:35:00,124.21183097892325,18,6,online,0,0,452.45603765020013,1,33.74078119187667,1
TXN_00000008,2023-01-01 00:40:00,11.954277628990962,17,0,restaurant,1,0,3.5705014503649,18,107.58220103513429,0
TXN_00000009,2023-01-01 00:45:00,36.91721311942796,7,0,online,1,0,5.221578203119016,22,71.01014921346305,0
TXN_00000010,2023-01-01 00:50:00,40.17975757709059,7,2,gas,1,0,0.17403292713957547,20,9.087371751413118,0
TXN_00000011,2023-01-01 00:55:00,91.93934849170455,10,4,online,1,0,2.3561073791437432,18,50.92762504805309,0
TXN_00000012,2023-01-01 01:00:00,53.354026271919004,19,0,grocery,1,0,0.10500723388209988,19,164.20571775720228,0
TXN_00000013,2023-01-01 01:05:00,28.68808184001185,9,3,restaurant,1,0,7.281318195647286,22,85.61274646019399,0
TXN_00000014,2023-01-01 01:10:00,20.721584489428597,14,4,gas,1,0,5.280512193759018,18,29.535009084974387,0
TXN_00000015,2023-01-01 01:15:00,304.12671122309376,22,0,travel,1,0,0.3677436044319585,14,44.85891132643758,0
TXN_00000016,2023-01-01 01:20:00,90.61651261712163,15,1,online,1,0,7.728293448901276,14,102.50798157866868,0
TXN_00000017,2023-01-01 01:25:00,19.583168537844283,8,2,gas,1,0,2.257254764723537,19,228.95340404884675,0
TXN_00000018,2023-01-01 01:30:00,74.44561239956856,22,0,restaurant,1,0,2.507698844908542,12,50.41227543158234,0
TXN_00000019,2023-01-01 01:35:00,38.375026748467704,10,0,restaurant,1,0,3.348847681311865,16,52.71712452996607,0
