transaction_amount,transaction_hour,day_of_week,merchant_category,card_present,international,distance_from_home,prev_transaction_count,avg_transaction_amount,transaction_id,timestamp
144.22029019736985,11,4,restaurant,0,0,3.5466367170648487,14,72.53258807750849,BATCH_00000521,2024-01-04 14:50:00
32.48952135655381,18,0,grocery,1,0,2.2057088323826597,13,249.34888351894048,BATCH_00000737,2024-01-06 02:50:00
36.49894380642861,16,3,restaurant,1,0,2.37956922332706,18,27.30761508050028,BATCH_00000740,2024-01-06 03:20:00
61.028721070540605,22,0,retail,1,0,0.6419207224900191,16,21.8053721938063,BATCH_00000660,2024-01-05 14:00:00
190.64967385974228,5,2,online,0,1,71.51359996934494,2,50.19790297701718,BATCH_00000411,2024-01-03 20:30:00
164.61965487517557,9,2,online,0,1,232.05466137160093,0,46.33896549803496,BATCH_00000678,2024-01-05 17:00:00
48.16038403512147,19,0,online,1,0,14.953311099810255,20,68.59080625907409,BATCH_00000626,2024-01-05 08:20:00
73.9761972451549,12,0,online,1,0,6.442554104835231,17,36.58710482972207,BATCH_00000513,2024-01-04 13:30:00
27.376083722600274,14,1,grocery,1,0,2.963396664617864,25,51.85821508999013,BATCH_00000859,2024-01-06 23:10:00
93.61456667311758,20,0,restaurant,0,0,3.2351771770477535,19,60.4531405322606,BATCH_00000136,2024-01-01 22:40:00
111.06071843585504,8,3,grocery,1,0,4.542702414325764,13,279.59697838320227,BATCH_00000811,2024-01-06 15:10:00
20.505745926175518,10,1,retail,1,0,11.531902157058422,22,49.34455139802865,BATCH_00000076,2024-01-01 12:40:00
57.01215458728141,14,3,online,0,0,2.4161182969008905,23,123.01021215524845,BATCH_00000636,2024-01-05 10:00:00
33.895907463499945,14,2,retail,1,0,0.894949416526223,24,128.1957073476918,BATCH_00000973,2024-01-07 18:10:00
35.656528627345736,9,4,retail,1,0,10.961061724739608,20,24.56025429338872,BATCH_00000938,2024-01-07 12:20:00
502.96469995158105,14,6,travel,1,0,781.4251139819858,4,37.23926561856811,BATCH_00000899,2024-01-07 05:50:00
34.17358443960055,6,3,grocery,1,0,7.506792629932473,20,97.32587080507238,BATCH_00000280,2024-01-02 22:40:00
51.968458364473065,20,1,grocery,0,0,11.702165473258688,19,55.802482378840985,BATCH_00000883,2024-01-07 03:10:00
120.15642281653831,17,4,gas,1,0,10.19141026286809,25,27.080599836465932,BATCH_00000761,2024-01-06 06:50:00
70.01326127985243,11,3,retail,1,0,14.793675182716113,23,69.20049017912886,BATCH_00000319,2024-01-03 05:10:00
116.2226612649046,21,3,retail,1,0,5.237776697368107,22,239.14573329457602,BATCH_00000549,2024-01-04 19:30:00
9.042850432128063,18,0,travel,1,0,9.495045811529897,17,120.12406092112799,BATCH_00000174,2024-01-02 05:00:00
43.8418246721279,18,4,grocery,1,0,2.232058374599427,25,241.95537441616352,BATCH_00000371,2024-01-03 13:50:00
105.81824110344951,21,2,grocery,1,0,0.041160800979731196,19,143.23138742410137,BATCH_00000527,2024-01-04 15:50:00
14.74532561531539,21,3,grocery,1,0,3.3883466575308785,19,99.20936721539148,BATCH_00000210,2024-01-02 11:00:00
31.779230257723352,13,1,online,1,0,1.4323324970413598,20,11.3804124716051,BATCH_00000235,2024-01-02 15:10:00
103.09142060807525,22,4,restaurant,1,0,2.190142492284772,15,31.95377106617379,BATCH_00000101,2024-01-01 16:50:00
